"filename", "language", "CSS", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\app\app\calculator\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 4, 26
"c:\dev\imersive vision\client\src\app\app\client\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 4, 26
"c:\dev\imersive vision\client\src\app\app\complete-invoice\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 4, 26
"c:\dev\imersive vision\client\src\app\app\components\shell.tsx", "TypeScript JSX", 0, 98, 0, 0, 6, 104
"c:\dev\imersive vision\client\src\app\app\components\varAcctions.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\dev\imersive vision\client\src\app\app\method-payment\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 4, 26
"c:\dev\imersive vision\client\src\app\app\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 4, 26
"c:\dev\imersive vision\client\src\app\app\project\components\projectPage.tsx", "TypeScript JSX", 0, 118, 0, 0, 8, 126
"c:\dev\imersive vision\client\src\app\app\project\page.tsx", "TypeScript JSX", 0, 11, 0, 0, 2, 13
"c:\dev\imersive vision\client\src\app\calculator\page.tsx", "TypeScript JSX", 0, 477, 0, 9, 90, 576
"c:\dev\imersive vision\client\src\app\layout.tsx", "TypeScript JSX", 0, 68, 0, 0, 6, 74
"c:\dev\imersive vision\client\src\app\page.tsx", "TypeScript JSX", 0, 25, 0, 0, 4, 29
"c:\dev\imersive vision\client\src\app\page1\components\NavBar.tsx", "TypeScript JSX", 0, 63, 0, 0, 4, 67
"c:\dev\imersive vision\client\src\app\page1\page.tsx", "TypeScript JSX", 0, 156, 0, 0, 8, 164
"c:\dev\imersive vision\client\src\app\page2\page.tsx", "TypeScript JSX", 0, 165, 0, 0, 6, 171
"c:\dev\imersive vision\client\src\app\page3\components\preview.tsx", "TypeScript JSX", 0, 118, 0, 1, 4, 123
"c:\dev\imersive vision\client\src\app\page3\page.tsx", "TypeScript JSX", 0, 181, 0, 0, 7, 188
"c:\dev\imersive vision\client\src\app\page4\components\previewFrame.tsx", "TypeScript JSX", 0, 34, 0, 0, 2, 36
