"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\app\app\calculator\page.tsx", "TypeScript JSX", 0, 0, 19, 0, 3, 22
"c:\dev\imersive vision\client\src\app\app\client\page.tsx", "TypeScript JSX", 0, 0, 19, 0, 3, 22
"c:\dev\imersive vision\client\src\app\app\complete-invoice\page.tsx", "TypeScript JSX", 0, 0, 19, 0, 3, 22
"c:\dev\imersive vision\client\src\app\app\components\shell.tsx", "TypeScript JSX", 0, 0, 98, 0, 6, 104
"c:\dev\imersive vision\client\src\app\app\components\varAcctions.tsx", "TypeScript JSX", 0, 0, 41, 0, 1, 42
"c:\dev\imersive vision\client\src\app\app\hooks\useCredentials.tsx", "TypeScript JSX", 0, 0, 13, 0, 3, 16
"c:\dev\imersive vision\client\src\app\app\login\page.tsx", "TypeScript JSX", 0, 0, 147, 0, 8, 155
"c:\dev\imersive vision\client\src\app\app\method-payment\page.tsx", "TypeScript JSX", 0, 0, 19, 0, 3, 22
"c:\dev\imersive vision\client\src\app\app\page.tsx", "TypeScript JSX", 0, 0, 19, 0, 3, 22
"c:\dev\imersive vision\client\src\app\app\project\[id]\page.tsx", "TypeScript JSX", 0, 0, 14, 0, 3, 17
"c:\dev\imersive vision\client\src\app\app\project\components\projectPage.tsx", "TypeScript JSX", 0, 0, 186, 11, 21, 218
"c:\dev\imersive vision\client\src\app\app\project\page.tsx", "TypeScript JSX", 0, 0, 14, 0, 3, 17
"c:\dev\imersive vision\client\src\app\app\utilities\cookie.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\dev\imersive vision\client\src\app\calculator\page.tsx", "TypeScript JSX", 0, 0, 477, 9, 90, 576
"c:\dev\imersive vision\client\src\app\layout.tsx", "TypeScript JSX", 0, 0, 68, 0, 6, 74
"c:\dev\imersive vision\client\src\app\page.tsx", "TypeScript JSX", 0, 0, 25, 0, 4, 29
"c:\dev\imersive vision\client\src\app\page1\components\NavBar.tsx", "TypeScript JSX", 0, 0, 63, 0, 4, 67
"c:\dev\imersive vision\client\src\app\page1\page.tsx", "TypeScript JSX", 0, 0, 156, 0, 8, 164
"c:\dev\imersive vision\client\src\app\page2\page.tsx", "TypeScript JSX", 0, 0, 165, 0, 6, 171
"c:\dev\imersive vision\client\src\app\page3\components\preview.tsx", "TypeScript JSX", 0, 0, 118, 1, 4, 123
"c:\dev\imersive vision\client\src\app\page3\page.tsx", "TypeScript JSX", 0, 0, 181, 0, 7, 188
"c:\dev\imersive vision\client\src\app\page4\components\previewFrame.tsx", "TypeScript JSX", 0, 0, 34, 0, 2, 36
"c:\dev\imersive vision\client\src\app\page4\components\titelLine.tsx", "TypeScript JSX", 0, 0, 27, 0, 2, 29
"c:\dev\imersive vision\client\src\app\page4\components\viewFrame.tsx", "TypeScript JSX", 0, 0, 143, 0, 5, 148
"c:\dev\imersive vision\client\src\app\page4\page.tsx", "TypeScript JSX", 0, 0, 385, 0, 15, 400
"c:\dev\imersive vision\client\src\app\page4\styles\page.css", "CSS", 0, 11, 0, 0, 0, 11
"c:\dev\imersive vision\client\src\app\page5\components\NavBar.tsx", "TypeScript JSX", 0, 0, 38, 0, 4, 42
"c:\dev\imersive vision\client\src\app\page5\page.tsx", "TypeScript JSX", 0, 0, 316, 8, 14, 338
"c:\dev\imersive vision\client\src\app\page6\page.tsx", "TypeScript JSX", 0, 0, 193, 0, 9, 202
"c:\dev\imersive vision\client\src\app\robots.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\dev\imersive vision\client\src\app\tours-contact\[company]\[model]\[categorie]\page.tsx", "TypeScript JSX", 0, 0, 163, 1, 9, 173
"c:\dev\imersive vision\client\src\components\TextSelect.tsx", "TypeScript JSX", 0, 0, 33, 0, 2, 35
"c:\dev\imersive vision\client\src\components\customInput.tsx", "TypeScript JSX", 0, 0, 372, 0, 16, 388
"c:\dev\imersive vision\client\src\components\customText.tsx", "TypeScript JSX", 0, 0, 13, 0, 2, 15
"c:\dev\imersive vision\client\src\components\customTooltip.tsx", "TypeScript JSX", 0, 0, 41, 0, 2, 43
"c:\dev\imersive vision\client\src\components\header.tsx", "TypeScript JSX", 0, 0, 102, 1, 9, 112
"c:\dev\imersive vision\client\src\components\lineBotton.tsx", "TypeScript JSX", 0, 0, 23, 0, 1, 24
"c:\dev\imersive vision\client\src\hooks\breakpointHandler.ts", "TypeScript", 17, 0, 0, 0, 3, 20
"c:\dev\imersive vision\client\src\hooks\indexList.ts", "TypeScript", 23, 0, 0, 0, 5, 28
"c:\dev\imersive vision\client\src\hooks\scrollTracker.ts", "TypeScript", 22, 0, 0, 0, 7, 29
"c:\dev\imersive vision\client\src\hooks\useFetch.ts", "TypeScript", 35, 0, 0, 0, 12, 47
"c:\dev\imersive vision\client\src\pages\api\client\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\client\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\client\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\form.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\dev\imersive vision\client\src\pages\api\installment\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\installment\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\installment\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\invoiceOld.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\invoice\[project_id]\[installment_id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\invoice\[project_id]\[installment_id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\invoice\complete\[project_id]\[installment_id]\index.ts", "TypeScript", 8, 0, 0, 1, 2, 11
"c:\dev\imersive vision\client\src\pages\api\invoice\complete\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\invoice\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\method-payment\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\method-payment\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\method-payment\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\permission\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\permission\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\permission\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\project-description\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\project-description\[id]\index.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"c:\dev\imersive vision\client\src\pages\api\project-description\index.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\dev\imersive vision\client\src\pages\api\project\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\project\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\project\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\tours-contact.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user-permission\[user_id]\[permission_id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user-permission\[user_id]\[permission_id]\index.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"c:\dev\imersive vision\client\src\pages\api\user-permission\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\user\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\user\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\user\login.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user\logout.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\server\configs\env.config.ts", "TypeScript", 8, 0, 0, 4, 2, 14
"c:\dev\imersive vision\client\src\server\configs\mailer.config.ts", "TypeScript", 8, 0, 0, 6, 3, 17
"c:\dev\imersive vision\client\src\server\configs\supabase.config.ts", "TypeScript", 5, 0, 0, 4, 2, 11
"c:\dev\imersive vision\client\src\server\modules\client\aplication\client.usecase.ts", "TypeScript", 171, 0, 0, 0, 26, 197
"c:\dev\imersive vision\client\src\server\modules\client\domain\interfaces.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\server\modules\client\infraestructure\client.controller.ts", "TypeScript", 221, 0, 0, 0, 47, 268
"c:\dev\imersive vision\client\src\server\modules\client\infraestructure\supabaseDBManager.ts", "TypeScript", 83, 0, 0, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\client\infraestructure\zodValidatorManager.ts", "TypeScript", 58, 0, 0, 0, 18, 76
"c:\dev\imersive vision\client\src\server\modules\form\aplication\form.usecase.ts", "TypeScript", 62, 0, 0, 5, 12, 79
"c:\dev\imersive vision\client\src\server\modules\form\domain\enums.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"c:\dev\imersive vision\client\src\server\modules\form\domain\interfaces.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"c:\dev\imersive vision\client\src\server\modules\form\domain\mials.ts", "TypeScript", 14, 0, 0, 0, 4, 18
"c:\dev\imersive vision\client\src\server\modules\form\infraestructure\form.controller.ts", "TypeScript", 43, 0, 0, 0, 5, 48
"c:\dev\imersive vision\client\src\server\modules\installment\aplication\installment.usecase.ts", "TypeScript", 164, 0, 0, 0, 26, 190
"c:\dev\imersive vision\client\src\server\modules\installment\domain\interfaces.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\server\modules\installment\infraestructure\installment.controller.ts", "TypeScript", 218, 0, 0, 0, 47, 265
"c:\dev\imersive vision\client\src\server\modules\installment\infraestructure\supabaseDBManager.ts", "TypeScript", 83, 0, 0, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\installment\infraestructure\zodValidatorManager.ts", "TypeScript", 57, 0, 0, 0, 18, 75
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\aplication\generatePdf.ts", "TypeScript", 462, 0, 0, 1, 86, 549
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\aplication\pdf.usecase.ts", "TypeScript", 17, 0, 0, 4, 4, 25
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\aplication\utils\generateQr.ts", "TypeScript", 10, 0, 0, 0, 1, 11
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\domain\interfaces.ts", "TypeScript", 34, 0, 0, 0, 4, 38
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\infraestructure\pdf.controller.ts", "TypeScript", 30, 0, 0, 0, 3, 33
"c:\dev\imersive vision\client\src\server\modules\invoice\aplication\invoice.usecase.ts", "TypeScript", 189, 0, 0, 0, 30, 219
"c:\dev\imersive vision\client\src\server\modules\invoice\aplication\invoiceComplete.usecase.ts", "TypeScript", 275, 0, 0, 42, 70, 387
"c:\dev\imersive vision\client\src\server\modules\invoice\domain\interfaces.ts", "TypeScript", 21, 0, 0, 0, 2, 23
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\completeInvoice.controller.ts", "TypeScript", 135, 0, 0, 76, 44, 255
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\invoice.controller.ts", "TypeScript", 221, 0, 0, 0, 48, 269
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\supabaseDBManager.ts", "TypeScript", 121, 0, 0, 0, 30, 151
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\utilities\formatters.ts", "TypeScript", 38, 0, 0, 0, 8, 46
