"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\app\app\calculator\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 9
"c:\dev\imersive vision\client\src\app\app\client\components\clientListPage.tsx", "TypeScript JSX", 3, 0, 0, 0, 3
"c:\dev\imersive vision\client\src\app\app\complete-invoice\components\completeInvoiceListPage.tsx", "TypeScript JSX", 4, 0, 0, 0, 4
"c:\dev\imersive vision\client\src\app\app\complete-invoice\components\completeInvoicePage.tsx", "TypeScript JSX", 372, 0, -58, 20, 334
"c:\dev\imersive vision\client\src\app\app\components\shell.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"c:\dev\imersive vision\client\src\app\app\method-payment\components\methodPaymentListPage.tsx", "TypeScript JSX", 3, 0, 0, 0, 3
"c:\dev\imersive vision\client\src\app\app\project\components\projectListPage.tsx", "TypeScript JSX", 3, 0, 0, 0, 3
"c:\dev\imersive vision\client\src\app\app\utilities\generatePDF.ts", "TypeScript", 0, 456, 1, 85, 542
"c:\dev\imersive vision\client\src\app\app\utilities\generateQr.ts", "TypeScript", 0, 10, 0, 1, 11
"c:\dev\imersive vision\client\src\app\app\utilities\inputs.ts", "TypeScript", 0, 69, 1, 7, 77
"c:\dev\imersive vision\client\src\app\app\utilities\interfaces.ts", "TypeScript", 0, 40, 0, 5, 45
"c:\dev\imersive vision\client\src\app\calculator\page.tsx", "TypeScript JSX", -477, 0, -9, -90, -576
"c:\dev\imersive vision\client\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, -1, -1
"c:\dev\imersive vision\client\src\components\customInput.tsx", "TypeScript JSX", 20, 0, 0, -1, 19
"c:\dev\imersive vision\client\src\pages\api\invoiceOld.ts", "TypeScript", 0, -8, 0, -2, -10
"c:\dev\imersive vision\client\src\server\modules\installment\aplication\installment.usecase.ts", "TypeScript", 0, 4, 0, 2, 6
"c:\dev\imersive vision\client\src\server\modules\installment\domain\interfaces.ts", "TypeScript", 0, 5, 0, 0, 5
"c:\dev\imersive vision\client\src\server\modules\installment\infraestructure\installment.controller.ts", "TypeScript", 0, 25, 0, 5, 30
"c:\dev\imersive vision\client\src\server\modules\installment\infraestructure\supabaseDBManager.ts", "TypeScript", 0, 6, 0, 2, 8
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\aplication\generatePdf.ts", "TypeScript", 0, -462, -1, -86, -549
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\aplication\pdf.usecase.ts", "TypeScript", 0, -17, -4, -4, -25
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\aplication\utils\generateQr.ts", "TypeScript", 0, -10, 0, -1, -11
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\domain\interfaces.ts", "TypeScript", 0, -34, 0, -4, -38
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\infraestructure\pdf.controller.ts", "TypeScript", 0, -30, 0, -3, -33
"c:\dev\imersive vision\client\src\server\modules\invoice\aplication\invoiceComplete.usecase.ts", "TypeScript", 0, 27, 0, 6, 33
"Total", "-", -61, 81, -70, -59, -109
