"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\app\app\calculator\page.tsx", "TypeScript JSX", 0, 291, 0, 0, 11, 302
"c:\dev\imersive vision\client\src\app\app\calculator\utilities\calculate.ts", "TypeScript", 22, 0, 0, 0, 4, 26
"c:\dev\imersive vision\client\src\app\app\calculator\utilities\interfaces.ts", "TypeScript", 15, 0, 0, 0, 2, 17
"c:\dev\imersive vision\client\src\app\app\client\[id]\page.tsx", "TypeScript JSX", 0, 14, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\app\app\client\components\clientListPage.tsx", "TypeScript JSX", 0, 97, 0, 1, 8, 106
"c:\dev\imersive vision\client\src\app\app\client\components\clientPage.tsx", "TypeScript JSX", 0, 239, 0, 1, 21, 261
"c:\dev\imersive vision\client\src\app\app\client\list\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 3, 16
"c:\dev\imersive vision\client\src\app\app\client\page.tsx", "TypeScript JSX", 0, 14, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\app\app\complete-invoice\[id]\page.tsx", "TypeScript JSX", 0, 14, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\app\app\complete-invoice\components\completeInvoiceListPage.tsx", "TypeScript JSX", 0, 109, 0, 1, 8, 118
"c:\dev\imersive vision\client\src\app\app\complete-invoice\components\completeInvoicePage.tsx", "TypeScript JSX", 0, 613, 0, 1, 48, 662
"c:\dev\imersive vision\client\src\app\app\complete-invoice\list\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 3, 16
"c:\dev\imersive vision\client\src\app\app\complete-invoice\page.tsx", "TypeScript JSX", 0, 14, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\app\app\components\shell.tsx", "TypeScript JSX", 0, 181, 0, 0, 12, 193
"c:\dev\imersive vision\client\src\app\app\components\varAcctions.tsx", "TypeScript JSX", 0, 41, 0, 0, 1, 42
"c:\dev\imersive vision\client\src\app\app\hooks\useCredentials.tsx", "TypeScript JSX", 0, 13, 0, 0, 3, 16
"c:\dev\imersive vision\client\src\app\app\login\page.tsx", "TypeScript JSX", 0, 151, 0, 0, 8, 159
"c:\dev\imersive vision\client\src\app\app\method-payment\[id]\page.tsx", "TypeScript JSX", 0, 14, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\app\app\method-payment\components\methodPayment.tsx", "TypeScript JSX", 0, 264, 0, 1, 21, 286
"c:\dev\imersive vision\client\src\app\app\method-payment\components\methodPaymentListPage.tsx", "TypeScript JSX", 0, 102, 0, 1, 9, 112
"c:\dev\imersive vision\client\src\app\app\method-payment\list\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 3, 16
"c:\dev\imersive vision\client\src\app\app\method-payment\page.tsx", "TypeScript JSX", 0, 14, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\app\app\page.tsx", "TypeScript JSX", 0, 19, 0, 0, 3, 22
"c:\dev\imersive vision\client\src\app\app\utilities\cookie.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\dev\imersive vision\client\src\app\app\utilities\generatePDF.ts", "TypeScript", 465, 0, 0, 1, 85, 551
"c:\dev\imersive vision\client\src\app\app\utilities\generateQr.ts", "TypeScript", 10, 0, 0, 0, 1, 11
"c:\dev\imersive vision\client\src\app\app\utilities\inputs.ts", "TypeScript", 214, 0, 0, 3, 24, 241
"c:\dev\imersive vision\client\src\app\app\utilities\interfaces.ts", "TypeScript", 40, 0, 0, 0, 5, 45
"c:\dev\imersive vision\client\src\app\layout.tsx", "TypeScript JSX", 0, 68, 0, 0, 5, 73
"c:\dev\imersive vision\client\src\app\page.tsx", "TypeScript JSX", 0, 25, 0, 0, 4, 29
"c:\dev\imersive vision\client\src\app\page1\components\NavBar.tsx", "TypeScript JSX", 0, 63, 0, 0, 4, 67
"c:\dev\imersive vision\client\src\app\page1\page.tsx", "TypeScript JSX", 0, 156, 0, 0, 8, 164
"c:\dev\imersive vision\client\src\app\page2\page.tsx", "TypeScript JSX", 0, 165, 0, 0, 6, 171
"c:\dev\imersive vision\client\src\app\page3\components\preview.tsx", "TypeScript JSX", 0, 118, 0, 1, 4, 123
"c:\dev\imersive vision\client\src\app\page3\page.tsx", "TypeScript JSX", 0, 181, 0, 0, 7, 188
"c:\dev\imersive vision\client\src\app\page4\components\previewFrame.tsx", "TypeScript JSX", 0, 34, 0, 0, 2, 36
"c:\dev\imersive vision\client\src\app\page4\components\titelLine.tsx", "TypeScript JSX", 0, 27, 0, 0, 2, 29
"c:\dev\imersive vision\client\src\app\page4\components\viewFrame.tsx", "TypeScript JSX", 0, 143, 0, 0, 5, 148
"c:\dev\imersive vision\client\src\app\page4\page.tsx", "TypeScript JSX", 0, 385, 0, 0, 15, 400
"c:\dev\imersive vision\client\src\app\page4\styles\page.css", "CSS", 0, 0, 11, 0, 0, 11
"c:\dev\imersive vision\client\src\app\page5\components\NavBar.tsx", "TypeScript JSX", 0, 38, 0, 0, 4, 42
"c:\dev\imersive vision\client\src\app\page5\page.tsx", "TypeScript JSX", 0, 316, 0, 8, 14, 338
"c:\dev\imersive vision\client\src\app\page6\page.tsx", "TypeScript JSX", 0, 193, 0, 0, 9, 202
"c:\dev\imersive vision\client\src\app\robots.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\dev\imersive vision\client\src\app\tours-contact\[company]\[model]\[categorie]\page.tsx", "TypeScript JSX", 0, 163, 0, 1, 9, 173
"c:\dev\imersive vision\client\src\components\TextSelect.tsx", "TypeScript JSX", 0, 33, 0, 0, 2, 35
"c:\dev\imersive vision\client\src\components\customInput.tsx", "TypeScript JSX", 0, 457, 0, 0, 19, 476
"c:\dev\imersive vision\client\src\components\customText.tsx", "TypeScript JSX", 0, 13, 0, 0, 2, 15
"c:\dev\imersive vision\client\src\components\customTooltip.tsx", "TypeScript JSX", 0, 41, 0, 0, 2, 43
"c:\dev\imersive vision\client\src\components\header.tsx", "TypeScript JSX", 0, 102, 0, 1, 9, 112
"c:\dev\imersive vision\client\src\components\lineBotton.tsx", "TypeScript JSX", 0, 23, 0, 0, 1, 24
"c:\dev\imersive vision\client\src\hooks\breakpointHandler.ts", "TypeScript", 17, 0, 0, 0, 3, 20
"c:\dev\imersive vision\client\src\hooks\indexList.ts", "TypeScript", 23, 0, 0, 0, 5, 28
"c:\dev\imersive vision\client\src\hooks\scrollTracker.ts", "TypeScript", 22, 0, 0, 0, 7, 29
"c:\dev\imersive vision\client\src\hooks\useFetch.ts", "TypeScript", 35, 0, 0, 0, 12, 47
"c:\dev\imersive vision\client\src\pages\api\client\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\client\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\client\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\form.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\dev\imersive vision\client\src\pages\api\invoice\[project_id]\[installment_id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\invoice\[project_id]\[installment_id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\invoice\complete\[project_id]\[installment_id]\index.ts", "TypeScript", 8, 0, 0, 1, 2, 11
